Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,TotalIncome
0,1,1,1,0,4583.0,1508.0,128000.0,360.0,1,0,0,6091.0
0,1,0,1,1,3000.0,0.0,66000.0,360.0,1,2,1,3000.0
0,1,0,0,0,2583.0,2358.0,120000.0,360.0,1,2,1,4941.0
0,0,0,1,0,6000.0,0.0,141000.0,360.0,1,2,1,6000.0
0,1,2,1,1,5417.0,4196.0,267000.0,360.0,1,2,1,9613.0
0,1,0,0,0,2333.0,1516.0,95000.0,360.0,1,2,1,3849.0
0,1,3,1,0,3036.0,2504.0,158000.0,360.0,0,1,0,5540.0
0,1,2,1,0,4006.0,1526.0,168000.0,360.0,1,2,1,5532.0
0,1,1,1,0,12841.0,10968.0,349000.0,360.0,1,1,0,23809.0
0,1,2,1,0,3200.0,700.0,70000.0,360.0,1,2,1,3900.0
0,1,2,1,0,2500.0,1840.0,109000.0,360.0,1,2,1,4340.0
0,1,2,1,0,3073.0,8106.0,200000.0,360.0,1,2,1,11179.0
0,0,0,1,0,1853.0,2840.0,114000.0,360.0,1,0,0,4693.0
0,1,2,1,0,1299.0,1086.0,17000.0,120.0,1,2,1,2385.0
0,0,0,1,0,4950.0,0.0,125000.0,360.0,1,2,1,4950.0
0,0,1,0,0,3596.0,0.0,100000.0,240.0,0,2,1,3596.0
1,0,0,1,0,3510.0,0.0,76000.0,360.0,0,2,0,3510.0
0,1,0,0,0,4887.0,0.0,133000.0,360.0,1,0,0,4887.0
0,1,0,0,0,7660.0,0.0,104000.0,360.0,0,2,0,7660.0
0,1,1,1,0,5955.0,5625.0,315000.0,360.0,1,2,1,11580.0
0,1,0,0,0,2600.0,1911.0,116000.0,360.0,0,1,0,4511.0
0,1,1,1,0,3717.0,2925.0,151000.0,360.0,0,1,0,6642.0
0,1,0,1,1,9560.0,0.0,191000.0,360.0,1,1,1,9560.0
0,1,0,1,0,2799.0,2253.0,122000.0,360.0,1,1,1,5052.0
0,1,2,0,0,4226.0,1040.0,110000.0,360.0,1,2,1,5266.0
0,0,0,0,0,1442.0,0.0,35000.0,360.0,1,2,0,1442.0
1,0,2,1,0,3750.0,2083.0,120000.0,360.0,1,1,1,5833.0
0,1,1,1,0,4166.0,3369.0,201000.0,360.0,0,2,0,7535.0
0,0,0,1,0,3167.0,0.0,74000.0,360.0,1,2,0,3167.0
0,0,1,1,1,4692.0,0.0,106000.0,360.0,1,0,0,4692.0
0,1,0,1,0,3500.0,1667.0,114000.0,360.0,1,1,1,5167.0
0,0,3,1,0,12500.0,3000.0,320000.0,360.0,1,0,0,15500.0
1,1,0,1,0,3667.0,1459.0,144000.0,360.0,1,1,1,5126.0
0,0,0,1,0,4166.0,7210.0,184000.0,360.0,1,2,1,11376.0
0,0,0,0,0,3748.0,1668.0,110000.0,360.0,1,1,1,5416.0
0,0,0,1,0,3600.0,0.0,80000.0,360.0,1,2,0,3600.0
0,0,0,1,0,1800.0,1213.0,47000.0,360.0,1,2,1,3013.0
0,1,0,1,0,2400.0,0.0,75000.0,360.0,0,2,1,2400.0
0,1,0,1,0,3941.0,2336.0,134000.0,360.0,1,1,1,6277.0
0,1,1,1,0,5649.0,0.0,44000.0,360.0,1,2,1,5649.0
0,1,0,1,0,5821.0,0.0,144000.0,360.0,1,2,1,5821.0
1,1,0,1,0,2645.0,3440.0,120000.0,360.0,0,2,0,6085.0
1,0,0,1,0,4000.0,2275.0,144000.0,360.0,1,1,1,6275.0
1,1,0,0,0,1928.0,1644.0,100000.0,360.0,1,1,1,3572.0
1,0,0,1,0,3086.0,0.0,120000.0,360.0,1,1,1,3086.0
1,0,0,1,0,4230.0,0.0,112000.0,360.0,1,1,0,4230.0
0,1,2,1,0,4616.0,0.0,134000.0,360.0,1,2,0,4616.0
1,1,1,1,1,11500.0,0.0,286000.0,360.0,0,2,0,11500.0
0,1,2,1,0,2708.0,1167.0,97000.0,360.0,1,1,1,3875.0
0,1,0,1,0,2132.0,1591.0,96000.0,360.0,1,1,1,3723.0
0,1,0,1,0,3366.0,2200.0,135000.0,360.0,1,0,0,5566.0
0,1,1,1,0,8080.0,2250.0,180000.0,360.0,1,2,1,10330.0
0,1,2,0,0,3357.0,2859.0,144000.0,360.0,1,2,1,6216.0
0,1,0,1,0,2500.0,3796.0,120000.0,360.0,1,2,1,6296.0
0,1,3,1,0,3029.0,0.0,99000.0,360.0,1,2,1,3029.0
0,1,0,0,1,2609.0,3449.0,165000.0,180.0,0,0,0,6058.0
1,0,0,1,0,4166.0,0.0,116000.0,360.0,0,1,0,4166.0
0,1,0,1,0,5726.0,4595.0,258000.0,360.0,1,1,0,10321.0
0,0,0,0,0,3200.0,2254.0,126000.0,180.0,0,2,0,5454.0
0,1,1,1,0,10750.0,0.0,312000.0,360.0,1,2,1,10750.0
0,1,3,0,1,7100.0,0.0,125000.0,60.0,1,2,1,7100.0
1,0,0,1,0,4300.0,0.0,136000.0,360.0,0,1,0,4300.0
0,1,0,1,0,3208.0,3066.0,172000.0,360.0,1,2,1,6274.0
0,1,2,0,1,1875.0,1875.0,97000.0,360.0,1,1,1,3750.0
0,0,0,1,0,3500.0,0.0,81000.0,300.0,1,1,1,3500.0
0,1,3,1,1,5266.0,1774.0,187000.0,360.0,1,1,1,7040.0
0,0,0,1,0,3750.0,0.0,113000.0,480.0,1,2,0,3750.0
0,0,0,1,0,3750.0,4750.0,176000.0,360.0,1,2,0,8500.0
0,1,1,1,1,1000.0,3022.0,110000.0,360.0,1,2,0,4022.0
0,1,3,1,0,3167.0,4000.0,180000.0,300.0,0,1,0,7167.0
0,1,3,0,1,3333.0,2166.0,130000.0,360.0,0,1,1,5499.0
1,0,0,1,0,3846.0,0.0,111000.0,360.0,1,1,1,3846.0
1,1,2,1,0,1378.0,1881.0,167000.0,360.0,1,2,0,3259.0
0,1,0,1,0,6000.0,2250.0,265000.0,360.0,0,1,0,8250.0
0,1,1,1,0,3988.0,0.0,50000.0,240.0,1,2,1,3988.0
0,0,0,1,0,2366.0,2531.0,136000.0,360.0,1,1,1,4897.0
0,1,2,0,0,3333.0,2000.0,99000.0,360.0,0,1,1,5333.0
0,1,0,1,0,2500.0,2118.0,104000.0,360.0,1,1,1,4618.0
0,0,0,1,0,8566.0,0.0,210000.0,360.0,1,2,1,8566.0
0,1,0,1,0,5695.0,4167.0,175000.0,360.0,1,1,1,9862.0
0,1,0,1,0,2958.0,2900.0,131000.0,360.0,1,1,1,5858.0
0,1,2,1,0,6250.0,5654.0,188000.0,180.0,1,1,1,11904.0
0,1,2,0,0,3273.0,1820.0,81000.0,360.0,1,2,1,5093.0
0,0,0,1,0,4133.0,0.0,122000.0,360.0,1,1,1,4133.0
0,0,0,0,0,3620.0,0.0,25000.0,120.0,1,1,1,3620.0
1,1,0,1,0,2484.0,2302.0,137000.0,360.0,1,1,1,4786.0
0,1,0,1,0,1977.0,997.0,50000.0,360.0,1,1,1,2974.0
0,1,0,0,0,4188.0,0.0,115000.0,180.0,1,1,1,4188.0
0,1,0,1,0,1759.0,3541.0,131000.0,360.0,1,1,1,5300.0
0,1,2,0,0,4288.0,3263.0,133000.0,180.0,1,2,1,7551.0
0,0,0,1,0,4843.0,3806.0,151000.0,360.0,1,1,1,8649.0
0,1,1,1,0,3052.0,1030.0,100000.0,360.0,1,2,1,4082.0
0,1,2,1,0,11417.0,1126.0,225000.0,360.0,1,2,1,12543.0
0,0,0,0,0,7333.0,0.0,120000.0,360.0,1,0,0,7333.0
0,1,2,1,0,3800.0,3600.0,216000.0,360.0,0,2,0,7400.0
0,1,3,0,0,2071.0,754.0,94000.0,480.0,1,1,1,2825.0
0,0,0,1,0,5316.0,0.0,136000.0,360.0,1,2,1,5316.0
1,1,0,1,0,2929.0,2333.0,139000.0,360.0,1,1,1,5262.0
0,0,0,1,0,5050.0,0.0,118000.0,360.0,1,1,1,5050.0
0,1,1,1,0,14583.0,0.0,185000.0,180.0,1,0,1,14583.0
1,1,0,1,0,3167.0,2283.0,154000.0,360.0,1,1,1,5450.0
0,1,1,1,0,2214.0,1398.0,85000.0,360.0,0,2,1,3612.0
0,1,0,1,0,5568.0,2142.0,175000.0,360.0,1,0,0,7710.0
1,0,0,1,0,10408.0,0.0,259000.0,360.0,1,2,1,10408.0
0,1,0,1,0,5667.0,2667.0,180000.0,360.0,1,0,1,8334.0
1,0,0,1,0,4166.0,0.0,44000.0,360.0,1,1,1,4166.0
1,0,0,1,0,2137.0,8980.0,137000.0,360.0,0,1,1,11117.0
0,1,2,1,0,2957.0,0.0,81000.0,360.0,1,1,1,2957.0
0,1,0,0,0,4300.0,2014.0,194000.0,360.0,1,0,1,6314.0
1,0,0,1,0,3692.0,0.0,93000.0,360.0,0,0,1,3692.0
0,1,1,1,1,10513.0,3850.0,160000.0,180.0,0,2,0,14363.0
0,1,0,1,0,6080.0,2569.0,182000.0,360.0,0,0,0,8649.0
0,0,0,1,1,20166.0,0.0,650000.0,480.0,0,2,1,20166.0
0,0,0,1,0,2014.0,1929.0,74000.0,360.0,1,2,1,3943.0
0,0,0,1,0,2718.0,0.0,70000.0,360.0,1,1,1,2718.0
0,1,0,1,1,3459.0,0.0,25000.0,120.0,1,1,1,3459.0
0,0,0,1,0,4895.0,0.0,102000.0,360.0,1,1,1,4895.0
0,1,3,1,0,4000.0,7750.0,290000.0,360.0,1,1,0,11750.0
1,1,0,1,0,4583.0,0.0,84000.0,360.0,1,0,0,4583.0
0,1,2,1,1,3316.0,3500.0,88000.0,360.0,1,2,1,6816.0
0,0,0,1,0,14999.0,0.0,242000.0,360.0,0,1,0,14999.0
0,1,2,0,0,4200.0,1430.0,129000.0,360.0,1,0,0,5630.0
0,1,2,1,0,5042.0,2083.0,185000.0,360.0,1,0,0,7125.0
0,0,0,1,0,5417.0,0.0,168000.0,360.0,1,2,1,5417.0
0,0,0,1,1,6950.0,0.0,175000.0,180.0,1,1,1,6950.0
0,1,0,1,0,2698.0,2034.0,122000.0,360.0,1,1,1,4732.0
0,1,2,1,0,11757.0,0.0,187000.0,180.0,1,2,1,11757.0
1,1,0,1,0,2330.0,4486.0,100000.0,360.0,1,1,1,6816.0
1,1,2,1,0,14866.0,0.0,70000.0,360.0,1,2,1,14866.0
0,1,1,1,0,1538.0,1425.0,30000.0,360.0,1,2,1,2963.0
1,0,0,1,0,10000.0,1666.0,225000.0,360.0,1,0,0,11666.0
0,1,0,1,0,4860.0,830.0,125000.0,360.0,1,1,1,5690.0
0,0,0,1,0,6277.0,0.0,118000.0,360.0,0,0,0,6277.0
0,1,0,1,1,2577.0,3750.0,152000.0,360.0,1,0,1,6327.0
0,0,0,1,0,9166.0,0.0,244000.0,360.0,1,2,0,9166.0
0,1,2,0,0,2281.0,0.0,113000.0,360.0,1,0,0,2281.0
0,0,0,1,0,3254.0,0.0,50000.0,360.0,1,2,1,3254.0
0,1,3,1,0,39999.0,0.0,600000.0,180.0,0,1,1,39999.0
0,1,1,1,0,6000.0,0.0,160000.0,360.0,0,0,1,6000.0
0,1,1,1,0,9538.0,0.0,187000.0,360.0,1,2,1,9538.0
0,0,0,1,0,2980.0,2083.0,120000.0,360.0,1,0,1,5063.0
0,1,0,1,0,4583.0,5625.0,255000.0,360.0,1,1,1,10208.0
0,1,0,0,0,1863.0,1041.0,98000.0,360.0,1,1,1,2904.0
0,1,0,1,0,7933.0,0.0,275000.0,360.0,1,2,0,7933.0
0,1,1,1,0,3089.0,1280.0,121000.0,360.0,0,1,0,4369.0
0,1,2,1,0,4167.0,1447.0,158000.0,360.0,1,0,1,5614.0
0,1,0,1,0,9323.0,0.0,75000.0,180.0,1,2,1,9323.0
1,1,0,1,0,4583.0,0.0,112000.0,360.0,1,0,0,4583.0
0,1,0,1,0,2439.0,3333.0,129000.0,360.0,1,0,1,5772.0
0,0,0,1,0,2237.0,0.0,63000.0,480.0,0,1,0,2237.0
0,1,2,1,0,8000.0,0.0,200000.0,360.0,1,1,1,8000.0
0,1,0,0,0,1820.0,1769.0,95000.0,360.0,1,0,1,3589.0
0,1,3,0,0,3522.0,0.0,81000.0,180.0,1,0,0,3522.0
0,1,0,1,0,5708.0,5625.0,187000.0,360.0,1,1,1,11333.0
0,1,0,0,1,4344.0,736.0,87000.0,360.0,1,1,0,5080.0
0,1,0,1,0,3497.0,1964.0,116000.0,360.0,1,0,1,5461.0
0,1,2,1,0,2045.0,1619.0,101000.0,360.0,1,0,1,3664.0
0,1,3,1,0,5516.0,11300.0,495000.0,360.0,0,1,0,16816.0
0,1,1,1,0,3750.0,0.0,116000.0,360.0,1,1,1,3750.0
0,0,0,0,0,2333.0,1451.0,102000.0,480.0,0,2,0,3784.0
0,1,1,1,0,6400.0,7250.0,180000.0,360.0,0,2,0,13650.0
0,0,0,1,0,1916.0,5063.0,67000.0,360.0,0,0,0,6979.0
0,1,0,1,0,4600.0,0.0,73000.0,180.0,1,1,1,4600.0
0,1,1,1,0,33846.0,0.0,260000.0,360.0,1,1,0,33846.0
1,1,0,1,0,3625.0,0.0,108000.0,360.0,1,1,1,3625.0
0,1,0,1,1,39147.0,4750.0,120000.0,360.0,1,1,1,43897.0
0,1,1,1,1,2178.0,0.0,66000.0,300.0,0,0,0,2178.0
0,1,0,1,0,2383.0,2138.0,58000.0,360.0,0,0,1,4521.0
0,1,0,1,0,9328.0,0.0,188000.0,180.0,1,0,1,9328.0
0,0,0,0,0,4885.0,0.0,48000.0,360.0,1,0,1,4885.0
0,0,0,1,0,12000.0,0.0,164000.0,360.0,1,1,0,12000.0
0,1,0,0,0,6033.0,0.0,160000.0,360.0,1,2,0,6033.0
0,0,0,1,0,3858.0,0.0,76000.0,360.0,1,1,1,3858.0
0,0,0,1,0,4191.0,0.0,120000.0,360.0,1,0,1,4191.0
0,1,1,1,0,3125.0,2583.0,170000.0,360.0,1,1,0,5708.0
0,0,0,1,0,8333.0,3750.0,187000.0,360.0,1,0,1,12083.0
1,1,0,1,0,3416.0,2816.0,113000.0,360.0,0,1,1,6232.0
0,0,0,1,1,11000.0,0.0,83000.0,360.0,1,2,0,11000.0
0,1,1,0,0,2600.0,2500.0,90000.0,360.0,1,1,1,5100.0
0,0,2,1,0,4923.0,0.0,166000.0,360.0,0,1,1,4923.0
0,1,1,0,0,3500.0,1083.0,135000.0,360.0,1,2,1,4583.0
0,1,2,0,0,3917.0,0.0,124000.0,360.0,1,1,1,3917.0
1,0,0,0,0,4408.0,0.0,120000.0,360.0,1,1,1,4408.0
1,0,0,1,0,3244.0,0.0,80000.0,360.0,1,2,1,3244.0
0,0,0,0,0,3975.0,2531.0,55000.0,360.0,1,0,1,6506.0
0,0,0,1,0,2479.0,0.0,59000.0,360.0,1,2,1,2479.0
0,0,0,1,0,3418.0,0.0,127000.0,360.0,1,1,0,3418.0
1,0,0,1,0,10000.0,0.0,214000.0,360.0,1,1,0,10000.0
0,1,3,1,0,3430.0,1250.0,128000.0,360.0,0,1,0,4680.0
0,1,1,1,1,7787.0,0.0,240000.0,360.0,1,2,1,7787.0
0,1,3,0,1,5703.0,0.0,130000.0,360.0,1,0,1,5703.0
0,1,0,1,0,3173.0,3021.0,137000.0,360.0,1,2,1,6194.0
0,1,3,0,0,3850.0,983.0,100000.0,360.0,1,1,1,4833.0
0,1,0,1,0,150.0,1800.0,135000.0,360.0,1,0,0,1950.0
0,1,0,1,0,3727.0,1775.0,131000.0,360.0,1,1,1,5502.0
0,1,2,1,0,5000.0,0.0,72000.0,360.0,0,1,0,5000.0
1,1,2,1,0,4283.0,2383.0,127000.0,360.0,0,1,1,6666.0
0,1,0,1,0,2221.0,0.0,60000.0,360.0,0,2,0,2221.0
0,1,2,1,0,4009.0,1717.0,116000.0,360.0,1,1,1,5726.0
0,0,0,1,0,2971.0,2791.0,144000.0,360.0,1,1,1,5762.0
0,1,0,1,0,6250.0,0.0,128000.0,360.0,1,1,1,6250.0
0,1,0,1,0,3250.0,0.0,170000.0,360.0,1,0,0,3250.0
0,1,0,0,1,4735.0,0.0,138000.0,360.0,1,2,0,4735.0
0,1,2,1,0,6250.0,1695.0,210000.0,360.0,1,1,1,7945.0
0,0,0,1,1,6400.0,0.0,200000.0,360.0,1,0,1,6400.0
0,1,1,1,0,2491.0,2054.0,104000.0,360.0,1,1,1,4545.0
0,1,0,1,0,3716.0,0.0,42000.0,180.0,1,0,1,3716.0
1,0,0,1,0,8333.0,0.0,280000.0,360.0,1,1,1,8333.0
0,1,1,1,0,3155.0,1779.0,140000.0,360.0,1,1,1,4934.0
0,1,1,1,0,5500.0,1260.0,170000.0,360.0,1,0,1,6760.0
0,1,0,1,0,5746.0,0.0,255000.0,360.0,0,2,0,5746.0
1,0,0,1,1,3463.0,0.0,122000.0,360.0,0,2,1,3463.0
1,0,1,1,0,3812.0,0.0,112000.0,360.0,1,0,1,3812.0
0,1,1,1,0,3315.0,0.0,96000.0,360.0,1,1,1,3315.0
0,1,2,1,0,5819.0,5000.0,120000.0,360.0,1,0,1,10819.0
0,1,1,0,0,2510.0,1983.0,140000.0,180.0,1,2,0,4493.0
0,0,0,1,0,2965.0,5701.0,155000.0,60.0,1,2,1,8666.0
0,1,2,1,1,6250.0,1300.0,108000.0,360.0,1,0,1,7550.0
0,1,0,0,0,3406.0,4417.0,123000.0,360.0,1,1,1,7823.0
0,0,0,1,1,6050.0,4333.0,120000.0,180.0,1,2,0,10383.0
0,1,2,1,0,9703.0,0.0,112000.0,360.0,1,2,1,9703.0
0,1,1,0,0,6608.0,0.0,137000.0,180.0,1,2,1,6608.0
0,1,1,1,0,2882.0,1843.0,123000.0,480.0,1,1,1,4725.0
0,1,0,1,0,1809.0,1868.0,90000.0,360.0,1,2,1,3677.0
0,1,0,0,0,1668.0,3890.0,201000.0,360.0,0,1,0,5558.0
1,0,2,1,0,3427.0,0.0,138000.0,360.0,1,2,0,3427.0
0,0,0,0,1,2583.0,2167.0,104000.0,360.0,1,0,1,4750.0
0,1,1,0,0,2661.0,7101.0,279000.0,180.0,1,1,1,9762.0
0,0,0,1,1,16250.0,0.0,192000.0,360.0,0,2,0,16250.0
1,0,3,1,0,3083.0,0.0,255000.0,360.0,1,0,1,3083.0
0,0,0,0,0,6045.0,0.0,115000.0,360.0,0,0,0,6045.0
0,1,3,1,0,5250.0,0.0,94000.0,360.0,1,2,0,5250.0
0,1,0,1,0,14683.0,2100.0,304000.0,360.0,1,0,0,16783.0
0,1,3,0,0,4931.0,0.0,128000.0,360.0,0,1,0,4931.0
0,1,1,1,0,6083.0,4250.0,330000.0,360.0,0,2,1,10333.0
0,0,0,1,0,2060.0,2209.0,134000.0,360.0,1,1,1,4269.0
1,0,1,1,0,3481.0,0.0,155000.0,36.0,1,1,0,3481.0
1,0,0,1,0,7200.0,0.0,120000.0,360.0,1,0,1,7200.0
0,0,0,1,1,5166.0,0.0,128000.0,360.0,1,1,1,5166.0
0,0,0,1,0,4095.0,3447.0,151000.0,360.0,1,0,1,7542.0
0,1,2,1,0,4708.0,1387.0,150000.0,360.0,1,1,1,6095.0
0,1,3,1,0,4333.0,1811.0,160000.0,360.0,0,2,1,6144.0
1,0,0,1,0,3418.0,0.0,135000.0,360.0,1,0,0,3418.0
1,0,1,1,0,2876.0,1560.0,90000.0,360.0,1,2,1,4436.0
1,0,0,1,0,3237.0,0.0,30000.0,360.0,1,2,1,3237.0
0,1,0,1,0,11146.0,0.0,136000.0,360.0,1,2,1,11146.0
0,0,0,1,0,2833.0,1857.0,126000.0,360.0,1,0,1,4690.0
0,1,0,1,0,2620.0,2223.0,150000.0,360.0,1,1,1,4843.0
0,1,2,1,0,3900.0,0.0,90000.0,360.0,1,1,1,3900.0
0,1,1,1,0,2750.0,1842.0,115000.0,360.0,1,1,1,4592.0
0,1,0,1,0,3993.0,3274.0,207000.0,360.0,1,1,1,7267.0
0,1,0,1,0,3103.0,1300.0,80000.0,360.0,1,2,1,4403.0
0,1,0,1,0,14583.0,0.0,436000.0,360.0,1,1,1,14583.0
1,1,0,0,0,4100.0,0.0,124000.0,360.0,0,0,1,4100.0
0,0,1,0,1,4053.0,2426.0,158000.0,360.0,0,2,0,6479.0
0,1,0,1,0,3927.0,800.0,112000.0,360.0,1,1,1,4727.0
0,1,2,1,0,2301.0,985.7999877999998,78000.0,180.0,1,2,1,3286.7999878
1,0,0,1,0,1811.0,1666.0,54000.0,360.0,1,2,1,3477.0
0,0,0,1,0,3158.0,3053.0,89000.0,360.0,1,0,1,6211.0
1,0,0,1,1,2600.0,1717.0,99000.0,300.0,1,1,0,4317.0
0,1,0,1,0,3704.0,2000.0,120000.0,360.0,1,0,1,5704.0
1,0,0,1,0,4124.0,0.0,115000.0,360.0,1,1,1,4124.0
0,0,0,1,0,9508.0,0.0,187000.0,360.0,1,0,1,9508.0
0,1,0,1,0,3075.0,2416.0,139000.0,360.0,1,0,1,5491.0
0,1,2,1,0,4400.0,0.0,127000.0,360.0,0,1,0,4400.0
0,1,2,1,0,3153.0,1560.0,134000.0,360.0,1,2,1,4713.0
1,0,0,1,0,5417.0,0.0,143000.0,480.0,0,2,0,5417.0
0,1,0,1,0,2383.0,3334.0,172000.0,360.0,1,1,1,5717.0
0,1,3,1,0,4416.0,1250.0,110000.0,360.0,1,2,1,5666.0
0,1,1,1,0,6875.0,0.0,200000.0,360.0,1,1,1,6875.0
1,1,1,1,0,4666.0,0.0,135000.0,360.0,1,2,1,4666.0
1,0,0,1,0,5000.0,2541.0,151000.0,480.0,1,0,0,7541.0
0,1,1,1,0,2014.0,2925.0,113000.0,360.0,1,2,0,4939.0
0,1,0,0,0,1800.0,2934.0,93000.0,360.0,0,2,0,4734.0
0,1,0,0,0,2875.0,1750.0,105000.0,360.0,1,1,1,4625.0
1,0,0,1,0,5000.0,0.0,132000.0,360.0,1,0,1,5000.0
0,1,1,1,0,1625.0,1803.0,96000.0,360.0,1,2,1,3428.0
0,0,0,1,0,4000.0,2500.0,140000.0,360.0,1,0,1,6500.0
1,0,0,1,0,3762.0,1666.0,135000.0,360.0,1,0,1,5428.0
